Base_Model,Quantization,Direction,Category_Type,Category_Value,comet_score,chrf_score,Count,Baseline_COMET,Baseline_chrF,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Category_Penalty,chrF_Category_Penalty,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Excess_Category_Effect,chrF_Excess_Category_Effect
Gemini 2.5 Flash 32B,Full Model,All,Topic,Europe/Vatican_City,0.947108,0.653328,2,0.947108,0.653328,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,European History/Challenges To Spiritual Authority,0.913056,0.663308,4,0.913056,0.663308,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,European History/Revolution In France,0.901617,0.666404,2,0.901617,0.666404,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,European History/World War,0.893571,0.642344,2,0.893571,0.642344,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Food,0.862368,0.487905,6,0.862368,0.487905,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Fundamentals_Of_Transportation/Introduction,0.911545,0.671578,2,0.911545,0.671578,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Fundamentals_Of_Transportation/Traffic_Flow,0.910318,0.651232,4,0.910318,0.651232,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Health,0.898134,0.588111,10,0.898134,0.588111,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,History Of Islam/Early Islam,0.907931,0.641051,4,0.907931,0.641051,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,History Of Technology/Cultural Determinism,0.923586,0.723138,2,0.923586,0.723138,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
