Base_Model,Quantization,Direction,Challenge,Normal_Count,Challenging_Count,COMET_Normal,COMET_Challenging,chrF_Normal,chrF_Challenging,COMET_Raw_Gap,chrF_Raw_Gap,Baseline_COMET_Normal,Baseline_COMET_Challenging,Baseline_chrF_Normal,Baseline_chrF_Challenging,Baseline_COMET_Raw_Gap,Baseline_chrF_Raw_Gap,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Normal_Penalty,COMET_Challenging_Penalty,chrF_Normal_Penalty,chrF_Challenging_Penalty,COMET_Excess_Challenge_Effect,chrF_Excess_Challenge_Effect,COMET_Effect_Check,chrF_Effect_Check
Llama 3 8B,4bit Static GPTQ,All,Has_Rare_Words,224,376,0.874522,0.858367,0.509985,0.54341,0.016155,-0.033425,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.864398,0.530931,0.869891,0.538079,0.005493,0.007148,0.002816,0.007088,0.003243,0.009475,0.004272,0.006232,0.004272,0.006232
Llama 3 8B,4bit Static GPTQ,All,High_Morphology,450,150,0.861877,0.871962,0.524439,0.550408,-0.010085,-0.025969,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.864398,0.530931,0.869891,0.538079,0.005493,0.007148,0.005576,0.005243,0.00834,0.003571,-0.000333,-0.00477,-0.000333,-0.00477
Llama 3 8B,4bit Static GPTQ,All,Is_Long_Sentence,565,35,0.865284,0.850096,0.527551,0.585495,0.015188,-0.057944,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.864398,0.530931,0.869891,0.538079,0.005493,0.007148,0.005805,0.00045,0.007166,0.006855,-0.005356,-0.000311,-0.005356,-0.000311
Llama 3 8B,4bit True GPTQ,All,Has_Rare_Words,224,376,0.874434,0.859864,0.505894,0.539925,0.01457,-0.034031,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.865303,0.52722,0.869891,0.538079,0.004588,0.010859,0.002904,0.00559,0.007334,0.012959,0.002686,0.005626,0.002686,0.005626
Llama 3 8B,4bit True GPTQ,All,High_Morphology,450,150,0.864247,0.868472,0.522329,0.541893,-0.004225,-0.019564,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.865303,0.52722,0.869891,0.538079,0.004588,0.010859,0.003206,0.008733,0.01045,0.012085,0.005527,0.001635,0.005527,0.001635
Llama 3 8B,4bit True GPTQ,All,Is_Long_Sentence,565,35,0.866827,0.840716,0.524112,0.577401,0.026111,-0.053289,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.865303,0.52722,0.869891,0.538079,0.004588,0.010859,0.004263,0.00983,0.010606,0.014949,0.005568,0.004344,0.005568,0.004344
Llama 3 8B,Analytical Net Mngr 5GB,All,Has_Rare_Words,224,376,0.419744,0.43956,0.075191,0.154705,-0.019817,-0.079514,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.432162,0.12502,0.869891,0.538079,0.437729,0.413059,0.457594,0.425894,0.438037,0.398179,-0.0317,-0.039857,-0.0317,-0.039857
Llama 3 8B,Analytical Net Mngr 5GB,All,High_Morphology,450,150,0.425504,0.452135,0.123381,0.129936,-0.026631,-0.006556,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.432162,0.12502,0.869891,0.538079,0.437729,0.413059,0.441949,0.42507,0.409399,0.424042,-0.016879,0.014643,-0.016879,0.014643
Llama 3 8B,Analytical Net Mngr 5GB,All,Is_Long_Sentence,565,35,0.436101,0.368577,0.12511,0.123563,0.067524,0.001547,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.432162,0.12502,0.869891,0.538079,0.437729,0.413059,0.434988,0.481969,0.409607,0.468787,0.046981,0.059179,0.046981,0.059179
Llama 3 8B,Empirical Net Mngr 5.5GB,All,Has_Rare_Words,224,376,0.820056,0.786617,0.457518,0.472855,0.033439,-0.015337,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.799101,0.467129,0.869891,0.538079,0.07079,0.07095,0.057282,0.078837,0.055709,0.08003,0.021555,0.024321,0.021555,0.024321
