Base_Model,Quantization,Direction,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Mean_Abs_Challenge_Effect,chrF_Mean_Abs_Challenge_Effect,COMET_Max_Positive_Challenge_Effect,chrF_Max_Positive_Challenge_Effect
Llama Krikri 8B,4bit Spinquant,EN-GR,0.899417,0.535315,0.903096,0.54703,0.00368,0.011716,0.003098,0.006474,0.004555,0.009562
Llama Krikri 8B,4bit Static GPTQ,EN-GR,0.900557,0.540435,0.903096,0.54703,0.002539,0.006595,0.001687,0.006512,0.002018,0.012582
Llama Krikri 8B,4bit True GPTQ,EN-GR,0.900851,0.540382,0.903096,0.54703,0.002245,0.006649,0.002498,0.005857,0.002536,0.00387
Llama Krikri 8B,Analytical Net Mngr 4.5GB,EN-GR,0.418279,0.040224,0.903096,0.54703,0.484817,0.506806,0.020736,0.016987,0.029299,0.01926
Llama Krikri 8B,Empirical Net Mngr 5.5GB,EN-GR,0.888301,0.535092,0.903096,0.54703,0.014795,0.011939,0.002094,0.008242,0.002034,0.014952
Llama Krikri 8B,Fp4,EN-GR,0.903043,0.546742,0.903096,0.54703,5.3e-05,0.000288,0.001637,0.006305,0.002576,0.012816
Llama Krikri 8B,Fp4 AWQ,EN-GR,0.903143,0.548507,0.903096,0.54703,-4.7e-05,-0.001477,0.000842,0.006312,0.00211,-0.001274
Llama Krikri 8B,Fp8,EN-GR,0.902514,0.544364,0.903096,0.54703,0.000582,0.002667,0.001119,0.005524,0.001829,0.005113
Llama Krikri 8B,Fp8 Per Tensor,EN-GR,0.901716,0.542024,0.903096,0.54703,0.00138,0.005006,0.001139,0.006128,0.000626,0.005147
Llama Krikri 8B,Full Model,EN-GR,0.903096,0.54703,0.903096,0.54703,0.0,0.0,0.0,0.0,0.0,0.0
Llama Krikri 8B,Int2 Batch16,EN-GR,0.525648,0.02379,0.903096,0.54703,0.377448,0.52324,0.035831,0.008178,0.076128,0.01423
Llama Krikri 8B,Int4,EN-GR,0.90136,0.545533,0.903096,0.54703,0.001736,0.001497,0.001066,0.009751,0.000865,0.012247
Llama Krikri 8B,Int4 AWQ,EN-GR,0.903048,0.546623,0.903096,0.54703,4.8e-05,0.000408,0.002298,0.002629,0.003177,0.00466
Llama Krikri 8B,Int8,EN-GR,0.902234,0.54597,0.903096,0.54703,0.000863,0.00106,0.000548,0.003475,6.2e-05,-0.002636
Llama Krikri 8B,Int8 A8W8,EN-GR,0.899515,0.547177,0.903096,0.54703,0.003581,-0.000146,0.004758,0.010032,0.004457,0.010162
Llama Krikri 8B,Int8 Bookends,EN-GR,0.902517,0.54661,0.903096,0.54703,0.00058,0.00042,0.001834,0.004362,0.00385,0.008793
Llama Krikri 8B,Nf4,EN-GR,0.900392,0.54503,0.903096,0.54703,0.002704,0.002,0.001251,0.003875,0.003553,0.006103
Llama Krikri 8B,2bit 10% Fast Spqr,GR-EN,0.855737,0.574178,0.878883,0.633978,0.023146,0.059799,0.008255,0.018738,0.015126,0.039117
Llama Krikri 8B,2bit 5% Spqr,GR-EN,0.651873,0.404497,0.878883,0.633978,0.22701,0.229481,0.049063,0.055195,0.070179,0.083854
Llama Krikri 8B,4bit K-Means,GR-EN,0.872218,0.600905,0.878883,0.633978,0.006665,0.033073,0.008622,0.019558,0.019198,0.032353
Llama Krikri 8B,4bit Omniquant,GR-EN,0.881044,0.625522,0.878883,0.633978,-0.002161,0.008456,0.005557,0.003932,0.013354,0.005305
Llama Krikri 8B,4bit Optimized GPTQ,GR-EN,0.879469,0.625555,0.878883,0.633978,-0.000586,0.008422,0.006898,0.005337,0.012431,0.009388
Llama Krikri 8B,4bit Spinquant,GR-EN,0.882622,0.629454,0.878883,0.633978,-0.003739,0.004524,0.006355,0.007196,0.012552,0.017818
Llama Krikri 8B,4bit Static GPTQ,GR-EN,0.880251,0.630204,0.878883,0.633978,-0.001368,0.003773,0.006685,0.007405,0.014509,0.011046
Llama Krikri 8B,4bit True GPTQ,GR-EN,0.878033,0.626848,0.878883,0.633978,0.00085,0.00713,0.00096,0.006133,0.001807,0.01539
Llama Krikri 8B,Analytical Net Mngr 4.5GB,GR-EN,0.402801,0.044685,0.878883,0.633978,0.476082,0.589293,0.015881,0.03282,0.042086,0.039621
Llama Krikri 8B,Empirical Net Mngr 5.5GB,GR-EN,0.873401,0.613955,0.878883,0.633978,0.005482,0.020022,0.00609,0.011467,0.013761,0.0217
Llama Krikri 8B,Fp4,GR-EN,0.880579,0.630602,0.878883,0.633978,-0.001696,0.003375,0.005989,0.012158,0.014827,0.021567
Llama Krikri 8B,Fp4 AWQ,GR-EN,0.880949,0.631785,0.878883,0.633978,-0.002066,0.002193,0.001703,0.00792,0.003008,0.010671
Llama Krikri 8B,Fp8,GR-EN,0.880991,0.632313,0.878883,0.633978,-0.002108,0.001665,0.005219,0.003274,0.009962,0.005157
Llama Krikri 8B,Fp8 Per Tensor,GR-EN,0.880111,0.634329,0.878883,0.633978,-0.001228,-0.000352,0.002143,0.004818,0.00292,0.010221
Llama Krikri 8B,Full Model,GR-EN,0.878883,0.633978,0.878883,0.633978,0.0,0.0,0.0,0.0,0.0,0.0
Llama Krikri 8B,Int2 Batch16,GR-EN,0.671247,0.120335,0.878883,0.633978,0.207636,0.513643,0.032583,0.058199,0.047591,0.096496
Llama Krikri 8B,Int4,GR-EN,0.879443,0.626501,0.878883,0.633978,-0.00056,0.007476,0.005851,0.009738,0.012896,0.016763
Llama Krikri 8B,Int4 AWQ,GR-EN,0.878844,0.628079,0.878883,0.633978,3.9e-05,0.005899,0.007828,0.012394,0.015816,0.023874
Llama Krikri 8B,Int8,GR-EN,0.87843,0.630751,0.878883,0.633978,0.000453,0.003226,0.000682,0.002315,0.001416,0.005887
Llama Krikri 8B,Int8 A8W8,GR-EN,0.879688,0.63669,0.878883,0.633978,-0.000805,-0.002713,0.006791,0.015954,0.011414,0.022772
Llama Krikri 8B,Int8 Bookends,GR-EN,0.878801,0.631695,0.878883,0.633978,8.2e-05,0.002282,0.001666,0.002399,0.002095,0.003964
Llama Krikri 8B,Nf4,GR-EN,0.878383,0.626984,0.878883,0.633978,0.0005,0.006993,0.00198,0.007042,0.003024,0.008798
Mistral 7B,2bit 10% Fast Spqr,All,0.537932,0.272385,0.711362,0.40661,0.17343,0.134225,0.014615,0.01908,0.00527,0.02804
Mistral 7B,2bit 5% Spqr,All,0.434952,0.209051,0.711362,0.40661,0.27641,0.197559,0.020285,0.012796,0.005146,0.016481
Mistral 7B,4bit K-Means,All,0.474534,0.250032,0.711362,0.40661,0.236828,0.156578,0.022725,0.038893,0.033556,0.062667
