Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
Llama Krikri 8B,4bit Static GPTQ,3,0.8793,0.8929,0.8861,3.8435,4.7506,5.61,5.8
Llama Krikri 8B,4bit True GPTQ,1,0.8832,0.9086,0.8959,6.8521,8.9403,5.25,5.8
Llama Krikri 8B,4bit True GPTQ,2,0.8799,0.8984,0.8891,7.2452,9.4407,5.9,5.8
Llama Krikri 8B,4bit True GPTQ,3,0.8711,0.8956,0.8834,6.5958,8.6551,5.97,5.8
Llama Krikri 8B,4bit Optimized GPTQ,1,0.8828,0.9105,0.8966,7.1254,8.5219,5.19,5.8
Llama Krikri 8B,4bit Optimized GPTQ,2,0.8787,0.9008,0.8897,7.2518,9.0621,5.82,5.8
Llama Krikri 8B,4bit Optimized GPTQ,3,0.877,0.8948,0.8859,6.771,8.3372,5.85,5.8
Llama Krikri 8B,Int2 Batch16,1,0.6898,0.5411,0.6155,7.9641,6.334,6.99,4.82
Llama Krikri 8B,Int2 Batch16,2,0.6647,0.5142,0.5895,7.0677,6.2298,7.61,4.82
Llama Krikri 8B,Int2 Batch16,3,0.6592,0.5216,0.5904,8.0479,6.2715,7.64,4.82
Llama Krikri 8B,Int4,1,0.8847,0.9074,0.8961,3.9814,4.8983,5.25,5.8
Llama Krikri 8B,Int4,2,0.878,0.8984,0.8882,4.1696,5.1263,5.44,5.8
Llama Krikri 8B,Int4,3,0.8756,0.8982,0.8869,3.9004,4.8156,5.45,5.8
Llama Krikri 8B,Int8,1,0.8858,0.9088,0.8973,4.1818,5.336,6.38,8.93
Llama Krikri 8B,Int8,2,0.8791,0.9006,0.8899,4.449,5.6985,6.57,8.93
Llama Krikri 8B,Int8,3,0.8705,0.8972,0.8839,4.1266,5.3695,6.57,8.93
Llama Krikri 8B,Int8 A8W8,1,0.8856,0.9076,0.8966,4.469,5.8382,5.31,8.93
Llama Krikri 8B,Int8 A8W8,2,0.8799,0.9016,0.8907,4.7082,6.3168,5.52,8.93
Llama Krikri 8B,Int8 A8W8,3,0.8795,0.8974,0.8885,4.4007,5.8648,5.6,8.93
Llama Krikri 8B,4bit K-Means,1,0.8786,0.8889,0.8837,4.1159,5.5716,5.21,5.53
Llama Krikri 8B,4bit K-Means,2,0.8744,0.8659,0.8702,4.2499,5.7898,5.74,5.53
Llama Krikri 8B,4bit K-Means,3,0.8637,0.8795,0.8716,3.9828,5.4768,5.77,5.53
Llama Krikri 8B,Nf4,1,0.8837,0.9075,0.8956,4.0091,5.0906,5.28,5.63
Llama Krikri 8B,Nf4,2,0.88,0.9011,0.8905,4.2144,5.3989,5.3,5.63
Llama Krikri 8B,Nf4,3,0.8716,0.8925,0.8821,3.8435,5.0136,5.3,5.63
Llama Krikri 8B,4bit Omniquant,1,0.8849,0.9083,0.8966,3.9417,4.7836,5.22,5.76
Llama Krikri 8B,4bit Omniquant,2,0.8798,0.8985,0.8891,4.121,4.9986,5.39,5.76
