Base_Model,Quantization,Metric_Family,Metric_ID,Metric_Label,Sentence_Count,Support,Reliability,Display_Unit,Quantized_Value,Baseline_Value,Excess_Effect,Quantized_Underproduction,Baseline_Underproduction,Excess_Underproduction,Quantized_Overproduction,Baseline_Overproduction,Excess_Overproduction
Llama 3 8B,Full Model,Structural realisation,possessive_nominals,Possessive nominals,300,110.0,Adequate support,divergences per 100 sentences,25.333333333333332,25.333333333333332,0.0,31.818181818181817,31.818181818181817,0.0,13.666666666666666,13.666666666666666,0.0
Llama 3 8B,Full Model,Structural realisation,prepositions,Prepositions,300,756.0,Adequate support,divergences per 100 sentences,93.0,93.0,0.0,10.714285714285714,10.714285714285714,0.0,66.0,66.0,0.0
Llama 3 8B,Full Model,Structural realisation,relative_clauses,Relative clauses,300,83.0,Adequate support,divergences per 100 sentences,26.666666666666668,26.666666666666668,0.0,31.325301204819276,31.325301204819276,0.0,18.0,18.0,0.0
Llama 3 8B,Full Model,Structural realisation,relative_markers,Relative markers,300,102.0,Adequate support,divergences per 100 sentences,28.333333333333332,28.333333333333332,0.0,16.666666666666668,16.666666666666668,0.0,22.666666666666668,22.666666666666668,0.0
Llama 3 8B,Full Model,Structural realisation,subordinating_conjunctions,Subordinating conjunctions,300,119.0,Adequate support,divergences per 100 sentences,21.333333333333332,21.333333333333332,0.0,15.126050420168067,15.126050420168067,0.0,15.333333333333334,15.333333333333334,0.0
Llama 3 8B,Int2 Batch16,Content preservation,named_entities,Named-entity recall,300,511.0,Adequate support,percentage-point recall loss,5.47945205479452,60.46966731898239,54.99021526418787,94.52054794520548,39.53033268101761,54.99021526418787,125.0,57.333333333333336,67.66666666666667
Llama 3 8B,Int2 Batch16,Content preservation,negations,Negation recall,300,62.0,Adequate support,percentage-point recall loss,12.903225806451612,74.19354838709677,61.29032258064515,87.09677419354838,25.806451612903224,61.29032258064516,25.666666666666668,7.0,18.666666666666668
Llama 3 8B,Int2 Batch16,Content preservation,numbers,Number recall,300,149.0,Adequate support,percentage-point recall loss,12.751677852348994,83.22147651006712,70.46979865771813,87.24832214765101,16.778523489932887,70.46979865771812,23.666666666666668,7.333333333333333,16.333333333333332
Llama 3 8B,Int2 Batch16,Content preservation,proper_nouns,Proper-noun recall,300,543.0,Adequate support,percentage-point recall loss,6.077348066298343,72.00736648250461,65.93001841620627,93.92265193370166,27.992633517495396,65.93001841620627,102.66666666666667,45.0,57.666666666666664
Llama 3 8B,Int2 Batch16,Internal agreement,demonstrative_noun_agreement,Demonstrative-noun disagreement,300,29.0,Low support,percentage-point violation rate,0.0,3.4482758620689653,-3.4482758620689653,,,,,,
Llama 3 8B,Int2 Batch16,Internal agreement,indefinite_article_number,Indefinite article-plural noun incompatibility,300,150.0,Adequate support,percentage-point violation rate,0.4608294930875576,1.3333333333333333,-0.8725038402457757,,,,,,
Llama 3 8B,Int2 Batch16,Internal agreement,subject_verb_agreement,Subject-verb disagreement,300,110.0,Adequate support,percentage-point violation rate,1.8633540372670807,1.8181818181818181,0.04517221908526259,,,,,,
Llama 3 8B,Int2 Batch16,Structural realisation,adjective_modifiers,Adjective modifiers,300,437.0,Adequate support,divergences per 100 sentences,144.66666666666666,53.0,91.66666666666666,37.75743707093822,14.187643020594965,23.56979405034325,89.66666666666667,32.333333333333336,57.333333333333336
Llama 3 8B,Int2 Batch16,Structural realisation,definite_articles,Definite articles,300,440.0,Adequate support,divergences per 100 sentences,205.33333333333334,78.66666666666667,126.66666666666667,47.27272727272727,9.318181818181818,37.95454545454545,136.0,65.0,71.0
Llama 3 8B,Int2 Batch16,Structural realisation,infinitival_markers,Infinitival markers,300,109.0,Adequate support,divergences per 100 sentences,85.33333333333333,20.0,65.33333333333333,40.36697247706422,30.275229357798164,10.09174311926606,70.66666666666667,9.0,61.66666666666667
Llama 3 8B,Int2 Batch16,Structural realisation,modal_auxiliaries,Modal auxiliaries,300,77.0,Adequate support,divergences per 100 sentences,105.33333333333333,11.0,94.33333333333333,33.76623376623377,25.974025974025974,7.792207792207794,96.66666666666667,4.333333333333333,92.33333333333334
Llama 3 8B,Int2 Batch16,Structural realisation,of_genitives,Of-genitive constructions,300,193.0,Adequate support,divergences per 100 sentences,87.33333333333333,49.0,38.33333333333333,64.76683937823834,22.27979274611399,42.487046632124354,45.666666666666664,34.666666666666664,11.0
Llama 3 8B,Int2 Batch16,Structural realisation,participles,Participles,300,356.0,Adequate support,divergences per 100 sentences,120.33333333333333,62.0,58.33333333333333,66.29213483146067,30.0561797752809,36.235955056179776,41.666666666666664,26.333333333333332,15.333333333333332
Llama 3 8B,Int2 Batch16,Structural realisation,passive_constructions,Passive constructions,300,107.0,Adequate support,divergences per 100 sentences,48.0,23.0,25.0,83.17757009345794,31.77570093457944,51.401869158878505,18.333333333333332,11.666666666666666,6.666666666666666
Llama 3 8B,Int2 Batch16,Structural realisation,possessive_nominals,Possessive nominals,300,110.0,Adequate support,divergences per 100 sentences,39.333333333333336,25.333333333333332,14.000000000000004,87.27272727272727,31.818181818181817,55.45454545454545,7.333333333333333,13.666666666666666,-6.333333333333333
Llama 3 8B,Int2 Batch16,Structural realisation,prepositions,Prepositions,300,756.0,Adequate support,divergences per 100 sentences,239.66666666666666,93.0,146.66666666666666,46.957671957671955,10.714285714285714,36.24338624338624,121.33333333333333,66.0,55.33333333333333
Llama 3 8B,Int2 Batch16,Structural realisation,relative_clauses,Relative clauses,300,83.0,Adequate support,divergences per 100 sentences,46.333333333333336,26.666666666666668,19.666666666666668,62.65060240963855,31.325301204819276,31.325301204819276,29.0,18.0,11.0
Llama 3 8B,Int2 Batch16,Structural realisation,relative_markers,Relative markers,300,102.0,Adequate support,divergences per 100 sentences,63.333333333333336,28.333333333333332,35.0,58.8235294117647,16.666666666666668,42.15686274509804,43.333333333333336,22.666666666666668,20.666666666666668
Llama 3 8B,Int2 Batch16,Structural realisation,subordinating_conjunctions,Subordinating conjunctions,300,119.0,Adequate support,divergences per 100 sentences,56.0,21.333333333333332,34.66666666666667,68.0672268907563,15.126050420168067,52.94117647058823,29.0,15.333333333333334,13.666666666666666
Llama 3 8B,Int4,Content preservation,named_entities,Named-entity recall,300,511.0,Adequate support,percentage-point recall loss,58.9041095890411,60.46966731898239,1.5655577299412897,41.0958904109589,39.53033268101761,1.5655577299412915,61.0,57.333333333333336,3.6666666666666665
Llama 3 8B,Int4,Content preservation,negations,Negation recall,300,62.0,Adequate support,percentage-point recall loss,72.58064516129032,74.19354838709677,1.6129032258064484,27.419354838709676,25.806451612903224,1.6129032258064515,7.333333333333333,7.0,0.3333333333333333
Llama 3 8B,Int4,Content preservation,numbers,Number recall,300,149.0,Adequate support,percentage-point recall loss,81.87919463087249,83.22147651006712,1.3422818791946298,18.120805369127517,16.778523489932887,1.342281879194631,7.666666666666667,7.333333333333333,0.3333333333333333
Llama 3 8B,Int4,Content preservation,proper_nouns,Proper-noun recall,300,543.0,Adequate support,percentage-point recall loss,70.7182320441989,72.00736648250461,1.2891344383057088,29.281767955801104,27.992633517495396,1.289134438305709,51.333333333333336,45.0,6.333333333333333
Llama 3 8B,Int4,Internal agreement,demonstrative_noun_agreement,Demonstrative-noun disagreement,300,27.0,Low support,percentage-point violation rate,3.7037037037037037,3.4482758620689653,0.2554278416347384,,,,,,
Llama 3 8B,Int4,Internal agreement,indefinite_article_number,Indefinite article-plural noun incompatibility,300,150.0,Adequate support,percentage-point violation rate,1.2578616352201257,1.3333333333333333,-0.07547169811320753,,,,,,
Llama 3 8B,Int4,Internal agreement,subject_verb_agreement,Subject-verb disagreement,300,109.0,Adequate support,percentage-point violation rate,1.834862385321101,1.8181818181818181,0.016680567139282898,,,,,,
Llama 3 8B,Int4,Structural realisation,adjective_modifiers,Adjective modifiers,300,437.0,Adequate support,divergences per 100 sentences,54.333333333333336,53.0,1.3333333333333357,13.043478260869565,14.187643020594965,-1.1441647597254008,35.333333333333336,32.333333333333336,3.0
Llama 3 8B,Int4,Structural realisation,definite_articles,Definite articles,300,440.0,Adequate support,divergences per 100 sentences,91.33333333333333,78.66666666666667,12.666666666666657,7.5,9.318181818181818,-1.8181818181818183,80.33333333333333,65.0,15.333333333333329
Llama 3 8B,Int4,Structural realisation,infinitival_markers,Infinitival markers,300,109.0,Adequate support,divergences per 100 sentences,20.333333333333332,20.0,0.33333333333333215,30.275229357798164,30.275229357798164,0.0,9.333333333333334,9.0,0.3333333333333339
