Base_Model,Quantization,Is_Full_Model,Direction,Sentences,Unique_Sentences,Hallucination_Risk,Omission_Risk,Expanded_Hallucination_Risk,Expanded_Omission_Risk,Unsupported_Target_Ratio,Uncovered_Source_Ratio,Target_Null_Mass_Mean,Source_Null_Mass_Mean,Target_Mutual_Unaligned_Ratio,Source_Mutual_Unaligned_Ratio,Degeneration_Risk,Off_Target_Score,Off_Target_Flag,Source_Token_Copy_Ratio,Source_Copy_Flag,Extreme_Length_Flag,Short_Output_Risk,Long_Output_Risk,Entity_Precision,Entity_Recall,Number_Precision,Number_Recall,Negation_Precision,Negation_Recall,Source_Output_LaBSE_Cosine,Reference_Output_LaBSE_Cosine,COMET,chrF,Full_Hallucination_Risk,Full_Omission_Risk,Full_Expanded_Hallucination_Risk,Full_Expanded_Omission_Risk,Full_Unsupported_Target_Ratio,Full_Uncovered_Source_Ratio,Full_Degeneration_Risk,Full_Off_Target_Score,Full_Source_Token_Copy_Ratio,Excess_Hallucination_Risk,Excess_Omission_Risk,Excess_Expanded_Hallucination_Risk,Excess_Expanded_Omission_Risk,Excess_Unsupported_Target_Ratio,Excess_Uncovered_Source_Ratio,Excess_Degeneration_Risk,Excess_Off_Target_Score,Excess_Source_Token_Copy_Ratio
Llama Krikri 8B,Full Model,1,GR-EN,300,300,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024385564188154258,0.027006253973761336,0.053879719728077084,0.08990699999110566,0.024851961335949753,0.0012942147252492078,0.0,0.02324158396202862,0.0,0.0033333333333333335,0.00341991341991342,0.0,0.8310595238095239,0.8091071428571429,0.965,0.9888888888888889,0.9466666666666667,0.9783333333333334,0.8761989863713583,0.930312842677037,0.8788831794261932,0.6339776100274807,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama Krikri 8B,2bit 10% Fast Spqr,0,GR-EN,300,300,0.04780295741274059,0.04679973552213988,0.06362978284550833,0.05423175309033894,0.019177278057978385,0.02618477626722494,0.02933486531778828,0.02838871968761738,0.09489672886245511,0.08582571061157733,0.04668703564885815,0.00029761904761904765,0.0,0.022872067125907426,0.0,0.043333333333333335,0.0028416821273964123,0.03581449967748967,0.7789444444444444,0.7462301587301587,0.9468333333333334,0.9948888888888888,0.95,0.9738888888888889,0.8594450757900873,0.9037397064765295,0.8557370976607005,0.5741784057778005,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,0.017457986076838277,0.000597008325335581,0.020027198372638916,0.006262248588587038,0.006407647966502778,0.004489848641679034,0.021835074312908397,-0.0009965956776301602,-0.0003695168361211934
Llama Krikri 8B,2bit 5% Spqr,0,GR-EN,300,300,0.17034453512145598,0.10821879196169995,0.15830654482219464,0.10348905478690856,0.10491472896759692,0.08120798926746066,0.09542156549822269,0.09446373081469475,0.31069731089854824,0.14898465580294443,0.14729773641493976,0.00124822695035461,0.0033333333333333335,0.015230833833674347,0.0,0.22,0.012581130110551487,0.17886639807621352,0.765212962962963,0.6445634920634921,0.960050505050505,0.9638888888888889,0.9344444444444444,0.9244444444444444,0.633472852986306,0.6463303424286035,0.6518731627861659,0.4044965286563987,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,0.13999956378555367,0.06201606476489565,0.11470396034932523,0.05551955028515666,0.09214509887612131,0.05951306164191475,0.12244577507899002,-4.598777489459786e-05,-0.008010750128354272
Llama Krikri 8B,4bit K-Means,0,GR-EN,300,300,0.034915218174746396,0.045838155014171045,0.04946595383236597,0.05174842279322294,0.016348330471394855,0.023905458766893175,0.027221575493413835,0.026544653528047867,0.0611757485594305,0.0870643527475721,0.026835258532787135,0.0,0.0,0.023035907995734402,0.0,0.0,8.658008658008661e-05,0.0,0.7906666666666666,0.7690079365079365,0.9825,0.9944444444444444,0.9672222222222223,0.9622222222222223,0.873851403594017,0.9201797165473302,0.8722178443272909,0.600904768596586,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,0.004570246838844081,-0.00036457218263325625,0.005863369359496558,0.003778918291471041,0.0035787003799192477,0.002210531141347269,0.0019832971968373816,-0.0012942147252492078,-0.00020567596629421717
Llama Krikri 8B,4bit Omniquant,0,GR-EN,300,300,0.030054050888972908,0.04593431261921429,0.04336928771719194,0.048818184874557885,0.013111344626926844,0.022732150250798385,0.025909949327862086,0.025097950006620604,0.05114085871212979,0.08997283760022387,0.023933957625589353,0.0,0.0,0.02346071755425934,0.0,0.0,8.658008658008661e-05,0.0,0.8198968253968254,0.7974404761904762,0.9833333333333333,0.9955555555555556,0.9538888888888889,0.9638888888888889,0.8783761535088221,0.9308565304676691,0.8810440361499786,0.6255217332317498,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,-0.00029092044692940675,-0.0002684145775900121,-0.00023329675567747288,0.000848680372805985,0.0003417145354512371,0.001037222625252479,-0.0009180037103603995,-0.0012942147252492078,0.00021913359223071915
Llama Krikri 8B,4bit Optimized GPTQ,0,GR-EN,300,300,0.03116806307732567,0.04290343731464994,0.044320229332849535,0.047552160107951,0.013508646692213133,0.02077215702489725,0.02523433456100303,0.024516124870531605,0.054761207978760836,0.08342203004852096,0.02521703171600859,0.0,0.0,0.0225974551899341,0.0,0.0,0.0,0.0,0.8220396825396825,0.7959126984126984,0.9733333333333334,0.9888888888888889,0.9472222222222223,0.9672222222222223,0.8793786595265071,0.9319104595979055,0.8794692341486613,0.6255554076466933,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,0.0008230917414233548,-0.0032992898821543604,0.0007176448599801252,-0.00041734439380090166,0.000739016600737526,-0.0009227706006486557,0.00036507038005883716,-0.0012942147252492078,-0.000644128772094521
Llama Krikri 8B,4bit Spinquant,0,GR-EN,300,300,0.029595543032660678,0.045267529333740376,0.0422645052112461,0.04797865014269815,0.012555003405591013,0.020798566663548332,0.02495452992589989,0.023918815804112613,0.051277095766491115,0.0910852055335602,0.02355575887505558,5.797101449275363e-05,0.0,0.022919821942025655,0.0,0.0,8.658008658008661e-05,0.0,0.8297222222222221,0.7975,0.98,0.9955555555555556,0.946111111111111,0.9727777777777777,0.8785867983102799,0.933244043191274,0.8826221605141957,0.6294538260318491,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,-0.0007494283032416366,-0.0009351978630639246,-0.0013380792616233123,9.145640946249534e-06,-0.00021462668588459466,-0.0008963609619975742,-0.0012962024608941733,-0.0012362437107564543,-0.0003217620200029643
Llama Krikri 8B,4bit Static GPTQ,0,GR-EN,300,300,0.03244637126778643,0.04367125182945613,0.04670528267211222,0.04810738161651035,0.012809065604455017,0.019863860354770294,0.02498178793075135,0.02476104774149346,0.0595482602681529,0.08638884739210465,0.025661956435448902,0.0027031417182882688,0.0033333333333333335,0.022622818140910845,0.0,0.0,8.658008658008661e-05,6.535947712418277e-05,0.8130595238095238,0.7935119047619047,0.965,0.9888888888888889,0.9505555555555556,0.9738888888888889,0.8765942710638046,0.931205832362175,0.8802510584394138,0.6302042160023372,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,0.002101399931884112,-0.002531475367348171,0.0031026981992428107,0.00013787711475844733,3.943551297940981e-05,-0.0018310672707756125,0.0008099950994991494,0.001408926993039061,-0.0006187658211177748
Llama Krikri 8B,4bit True GPTQ,0,GR-EN,300,300,0.02976244173986594,0.04662497495287871,0.04335269321354842,0.049270047383585494,0.012752339540398071,0.022769918440286138,0.024708397173449546,0.02723839475689759,0.05182658850575021,0.0898666116614524,0.02511068561568238,0.0016103291679949593,0.0,0.02437971095126651,0.0,0.0033333333333333335,0.00341991341991342,0.0,0.8304603174603175,0.8025793650793651,0.965,0.9888888888888889,0.9366666666666666,0.9716666666666667,0.8768439177672068,0.9291797164579233,0.878033395409584,0.6268477832311109,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,-0.0005825295960363748,0.000422247756074412,-0.0002498912593209904,0.001300542881833594,-1.72905510775357e-05,0.0010749908147402315,0.0002587242797326278,0.00031611444274575145,0.0011381269892378892
Llama Krikri 8B,Analytical Net Mngr 4.5GB,0,GR-EN,300,300,0.23630030173711356,0.25581015995334766,0.29257869348037624,0.2877149836806418,0.20339664747280867,0.18808756253318915,0.15076568823630598,0.1579899934534054,0.35473856950222604,0.4213529238734484,0.20418613539027153,0.7018550726874093,0.71,0.2970825590642907,0.23,0.43666666666666665,0.14934639715871062,0.1980651244839435,0.5138115942028986,0.5136111111111111,0.811789906202175,0.927,0.9522222222222223,0.8533333333333334,0.4156763985582317,0.35229154034284876,0.4028010041515033,0.04468490836274115,0.030344971335902315,0.0462027271968043,0.04360258447286941,0.0479695045017519,0.012769630091475607,0.021694927625545906,0.024851961335949753,0.0012942147252492078,0.02324158396202862,0.20595533040121125,0.20960743275654337,0.24897610900750683,0.2397454791788899,0.19062701738133306,0.16639263490764325,0.17933417405432178,0.7005608579621602,0.2738409751022621
